questiontext,choice1,choice2,correct_id
"Which planet is known as the Red Planet?", "Mars", "Venus", 1
"What is the largest mammal in the world?", "Elephant", "Blue Whale", 2
"In which year did the Titanic sink?", "1912", "1921", 1
"What is the capital of Australia?", "Sydney", "Canberra", 2
"Who painted the Mona Lisa?", "Leonardo da Vinci", "Vincent van Gogh", 1
"What is the tallest mountain in the world?", "Mount Kilimanjaro", "Mount Everest", 2
"What is the largest organ in the human body?", "Liver", "Skin", 2
"Who wrote the play 'Hamlet'?", "William Shakespeare", "Charles Dickens", 1
"What is the national animal of China?", "Panda", "Dragon", 1
"Which country is famous for the ancient city of Petra?", "Greece", "Jordan", 2
"Which metal is liquid at room temperature?", "Mercury", "Silver", 1
"What is the largest ocean in the world?", "Pacific Ocean", "Indian Ocean", 1
"In which city would you find the Colosseum?", "Athens", "Rome", 2
"What is the main ingredient in guacamole?", "Avocado", "Tomato", 1
"Who is known as the father of computer science?", "Alan Turing", "Bill Gates", 1
"What is the chemical symbol for gold?", "Au", "Ag", 1
"Which famous scientist developed the theory of general relativity?", "Isaac Newton", "Albert Einstein", 2
"Which bird is a symbol of peace?", "Crow", "Dove", 2
"Who painted the famous work 'Starry Night'?", "Pablo Picasso", "Vincent van Gogh", 2
"What is the capital of Japan?", "Kyoto", "Tokyo", 2
"What is the process by which plants make their food?", "Photosynthesis", "Respiration", 1
"Which country is known as the Land of the Rising Sun?", "China", "Japan", 2
"What is the largest desert in the world?", "Sahara Desert", "Gobi Desert", 1
"What is the currency of France?", "Pound", "Euro", 2
"Who is the author of 'The Great Gatsby'?", "F. Scott Fitzgerald", "Ernest Hemingway", 1
"What is the fastest land animal?", "Cheetah", "Lion", 1
"Which planet is closest to the sun?", "Mars", "Mercury", 2
"What is the tallest mammal?", "Elephant", "Giraffe", 2
"Who wrote the famous play 'Romeo and Juliet'?", "Charles Dickens", "William Shakespeare", 2
"What is the largest bone in the human body?", "Femur", "Humerus", 1
"Which river is the longest in the world?", "Nile River", "Amazon River", 1
"Which country is famous for the ancient city of Machu Picchu?", "Peru", "Mexico", 1
"What is the main ingredient in hummus?", "Chickpeas", "Lentils", 1
"Who is the lead vocalist of the band Queen?", "Freddie Mercury", "John Lennon", 1
"Which is the only mammal that can fly?", "Bat", "Squirrel", 1
"What is the largest planet in our solar system?", "Saturn", "Jupiter", 2
"Who is credited with the invention of the telephone?", "Alexander Graham Bell", "Thomas Edison", 1
"What is the chemical symbol for water?", "H2O", "W", 1
"Which country is known as the 'Land of a Thousand Lakes'?", "Sweden", "Finland", 2
"Who painted the ceiling of the Sistine Chapel?", "Leonardo da Vinci", "Michelangelo", 2
"What is the smallest country in the world?", "Monaco", "Vatican City", 2
"What is the currency of Japan?", "Yen", "Ruble", 1
"Which bird cannot fly?", "Eagle", "Penguin", 2
"What is the main ingredient in a margherita pizza?", "Mushroom", "Tomato", 2
"Who is known as the 'Maid of Orleans'?", "Cleopatra", "Joan of Arc", 2
"Which country is famous for the pyramids of Giza?", "Iraq", "Egypt", 2
"Who is the author of 'To Kill a Mockingbird'?", "Harper Lee", "J.D. Salinger", 1
"Which metal does not rust?", "Iron", "Gold", 2
"What is the largest living organism?", "Blue Whale", "Great Barrier Reef", 2
"Who is known for the theory of evolution?", "Isaac Newton", "Charles Darwin", 2
"What is the primary ingredient in chocolate?", "Cocoa", "Coffee", 1
"What is the capital of Brazil?", "Sao Paulo", "Brasilia", 2
"Who wrote the 'Harry Potter' series?", "J.R.R. Tolkien", "J.K. Rowling", 2
"What is the only bird that can fly backward?", "Hummingbird", "Parrot", 1
"Which country is famous for the Taj Mahal?", "India", "China", 1
"What is the largest living primate?", "Gorilla", "Orangutan", 1
"Who was the first person to step on the moon?", "Neil Armstrong", "Buzz Aldrin", 1
"Which is the largest organ in the human body?", "Liver", "Skin", 2
"What is the tallest mountain in North America?", "Mount Everest", "Denali", 2
"Who painted the famous work 'The Last Supper'?", "Raphael", "Leonardo da Vinci", 2
"What is the capital of South Korea?", "Seoul", "Pyongyang", 1
"Which gas do plants use to produce their food?", "Carbon Dioxide", "Oxygen", 1
"What is the national flower of Japan?", "Cherry Blossom", "Lotus", 1
"Who is known for the theory of general relativity?", "Albert Einstein", "Isaac Newton", 1
"What is the currency of South Africa?", "Rand", "Peso", 1
"Which country is known as the 'Land of Fire and Ice'?", "Iceland", "Greenland", 1
"Who is the author of '1984'?", "George Orwell", "Aldous Huxley", 1
"What is the main ingredient in a Caesar salad?", "Lettuce", "Romaine", 2
"Which is the smallest planet in our solar system?", "Venus", "Mercury", 2
"What is the largest species of big cat?", "Lion", "Tiger", 2
"Who wrote 'The Chronicles of Narnia'?", "J.R.R. Tolkien", "C.S. Lewis", 2
"What is the chemical symbol for silver?", "Ag", "Si", 1
"Which river runs through Egypt?", "Nile River", "Amazon River", 1
"What is the capital of Canada?", "Toronto", "Ottawa", 2
"Who is the lead singer of the band U2?", "Bono", "Chris Martin", 1
"Which is the only mammal that lays eggs?", "Platypus", "Kangaroo", 1
"What is the main ingredient in a margarita cocktail?", "Rum", "Tequila", 2
"Who is known for the theory of relativity?", "Isaac Newton", "Albert Einstein", 2
"Which is the largest ocean?", "Atlantic Ocean", "Pacific Ocean", 2
"Which gas do plants absorb from the atmosphere during photosynthesis?", "Oxygen", "Carbon Dioxide", 2
"What is the largest planet in our solar system?", "Mars", "Jupiter", 2
"Who is the author of 'To Kill a Mockingbird'?", "Harper Lee", "Mark Twain", 1
"How many continents are there on Earth?", "Five", "Seven", 2
"What is the chemical symbol for the element gold?", "Go", "Au", 2
"What is the national flower of Japan?", "Rose", "Cherry Blossom", 2
"What is the largest ocean on Earth?", "Atlantic Ocean", "Pacific Ocean", 2
"Who painted the 'Starry Night'?", "Vincent van Gogh", "Pablo Picasso", 1
"What is the capital of Brazil?", "Rio de Janeiro", "Brasília", 2
"How many players are there on a standard soccer team?", "9", "11", 2
"What is the largest desert in the world?", "Sahara Desert", "Antarctica", 1
"Who is the Greek god of the sea?", "Zeus", "Poseidon", 2
"What is the chemical symbol for water?", "H2O", "CO2", 1
"What is the smallest prime number?", "0", "1", 2
"Which planet is known as the 'Morning Star' or 'Evening Star'?", "Mars", "Venus", 2
"What is the national bird of the United States?", "Bald Eagle", "American Robin", 1
"What is the largest species of shark?", "Great White Shark", "Whale Shark", 2
"Who is known as the 'Father of Modern Physics'?", "Albert Einstein", "Isaac Newton", 1
"What is the chemical symbol for the element silver?", "Ag", "Si", 1
"What is the world's second-largest continent by land area?", "Asia", "Africa", 2
"Which gas is responsible for the Earth's ozone layer?", "Oxygen", "Ozone", 2
"How many bones are there in the adult human body?", "206", "306", 1
"What is the most abundant gas in the Earth's atmosphere?", "Carbon Dioxide", "Nitrogen", 2
"What is the largest moon in our solar system?", "Titan", "Luna", 1
"Who wrote the 'Harry Potter' book series?", "J.R.R. Tolkien", "J.K. Rowling", 2
"What is the chemical symbol for the element iron?", "Ir", "Fe", 2
"What is the smallest planet in our solar system?", "Venus", "Mercury", 2
"What is the national flower of the United Kingdom?", "Daffodil", "Rose", 2
"What is the capital of South Korea?", "Seoul", "Tokyo", 1
"How many continents touch the Atlantic Ocean?", "2", "3", 2
"What is the largest animal on Earth?", "African Elephant", "Blue Whale", 2
"What is the chemical symbol for the element copper?", "Cu", "Co", 1
"What is the tallest tree species in the world?", "Giant Sequoia", "Pine Tree", 1
"What is the largest species of big cat?", "Lion", "Tiger", 2
"Who discovered penicillin?", "Alexander Fleming", "Thomas Edison", 1
"What is the largest artery in the human body?", "Carotid Artery", "Aorta", 2
"What is the primary ingredient in guacamole?", "Avocado", "Tomato", 1
"Which country is known as the 'Land of the Rising Sun'?", "China", "Japan", 2
"What is the chemical symbol for the element helium?", "He", "Hl", 1
"What is the largest rainforest in the world?", "Congo Rainforest", "Amazon Rainforest", 2
"Who is the artist behind the 'Mona Lisa'?", "Pablo Picasso", "Leonardo da Vinci", 2
"Which ocean is the largest?", "Indian Ocean", "Pacific Ocean", 2
"What is the national sport of Japan?", "Sumo Wrestling", "Karate", 1
"What is the largest type of penguin?", "Emperor Penguin", "Adélie Penguin", 1
"Who developed the theory of relativity?", "Isaac Newton", "Albert Einstein", 2
"What is the capital of Canada?", "Toronto", "Ottawa", 2
"Which bird is a symbol of peace?", "Dove", "Hawk", 1
"What is the largest organ in the human body?", "Liver", "Skin", 2
"Who painted the 'Birth of Venus'?", "Sandro Botticelli", "Michelangelo", 1
"What is the longest river in the world?", "Nile River", "Amazon River", 2
"Which planet is known as the 'Blue Planet'?", "Earth", "Neptune", 1
"What is the capital of Spain?", "Barcelona", "Madrid", 2
"What is the chemical symbol for the element lead?", "Pb", "Ld", 1
"Which language is the most spoken in the world?", "English", "Mandarin", 2
"What is the primary ingredient in a margherita pizza?", "Mozzarella", "Pepperoni", 1
"What is the hardest natural substance on Earth?", "Diamond", "Steel", 1
"Who is the Norse god of thunder?", "Thor", "Loki", 1
"What is the capital of Egypt?", "Cairo", "Alexandria", 1
"Which bone is the longest in the human body?", "Femur", "Tibia", 1
"Who wrote 'Romeo and Juliet'?", "Charles Dickens", "William Shakespeare", 2
"What is the largest herbivorous dinosaur?", "Triceratops", "Brachiosaurus", 2
"What is the chemical symbol for the element potassium?", "Po", "K", 2
"Which is the largest continent by land area?", "Europe", "Asia", 2

